id,workload,iteration,state,A53 CPU0,A53 CPU1,A53 CPU2,A53 CPU3,A72 CPU4,A72 CPU5,A72 CPU6,A72 CPU7
1,gmail,1,0480000KHz,3.029,2.802,2.897,2.912,0.000,0.000,0.000,0.000
1,gmail,1,0807000KHz,1.179,1.099,0.996,1.237,0.102,0.137,0.250,0.098
1,gmail,1,1018000KHz,0.169,0.205,0.193,0.205,0.000,0.000,0.000,0.000
1,gmail,1,1210000KHz,0.000,0.000,0.000,0.000,0.055,0.024,0.013,0.012
1,gmail,1,1306000KHz,0.063,0.067,0.095,0.048,0.000,0.000,0.000,0.000
1,gmail,1,1517000KHz,8.106,8.127,7.743,7.683,1.359,1.166,0.913,1.296
1,gmail,1,1805000KHz,4.914,4.589,4.299,4.242,0.038,0.001,0.001,0.013
1,gmail,1,2016000KHz,0.000,0.000,0.000,0.000,1.146,0.936,0.821,1.009
1,gmail,1,2304000KHz,0.000,0.000,0.000,0.000,3.172,2.628,2.816,2.333
1,gmail,1,ARM64 WFI-0480000KHz,6.607,6.030,4.070,4.487,0.000,0.000,0.000,0.000
1,gmail,1,ARM64 WFI-0807000KHz,2.521,2.268,2.209,2.097,0.078,0.015,0.078,0.056
1,gmail,1,ARM64 WFI-1018000KHz,0.489,0.386,0.345,0.392,0.000,0.000,0.000,0.000
1,gmail,1,ARM64 WFI-1210000KHz,0.000,0.000,0.000,0.000,0.009,0.004,0.007,0.000
1,gmail,1,ARM64 WFI-1306000KHz,0.233,0.223,0.152,0.185,0.000,0.000,0.000,0.000
1,gmail,1,ARM64 WFI-1517000KHz,20.797,18.528,17.730,17.241,2.949,1.816,1.475,1.455
1,gmail,1,ARM64 WFI-1805000KHz,13.233,10.246,9.136,9.768,0.001,0.038,0.038,0.065
1,gmail,1,ARM64 WFI-2016000KHz,0.000,0.000,0.000,0.000,1.228,1.205,0.897,1.091
1,gmail,1,ARM64 WFI-2304000KHz,0.000,0.000,0.000,0.000,2.254,1.916,2.011,1.611
1,gmail,1,cluster-sleep-0,0.000,0.000,0.000,0.000,10.153,10.153,10.153,10.153
1,gmail,1,cpu-sleep-0,38.661,45.430,50.134,49.502,77.456,79.962,80.527,80.807
1,gmail,2,0480000KHz,3.016,2.841,2.695,2.746,0.000,0.000,0.000,0.000
1,gmail,2,0807000KHz,1.244,1.314,1.060,1.280,0.017,0.112,0.080,0.077
1,gmail,2,1018000KHz,0.352,0.356,0.378,0.324,0.000,0.000,0.000,0.000
1,gmail,2,1210000KHz,0.000,0.000,0.000,0.000,0.000,0.003,0.026,0.029
1,gmail,2,1306000KHz,0.196,0.175,0.181,0.164,0.000,0.000,0.000,0.000
1,gmail,2,1517000KHz,7.629,5.806,7.220,7.423,0.977,1.004,0.608,0.884
1,gmail,2,1805000KHz,5.245,4.820,4.745,5.059,0.025,0.056,0.022,0.045
1,gmail,2,2016000KHz,0.000,0.000,0.000,0.000,0.882,0.993,1.135,1.060
1,gmail,2,2304000KHz,0.000,0.000,0.000,0.000,2.744,3.918,2.469,2.274
1,gmail,2,ARM64 WFI-0480000KHz,6.017,5.282,3.956,3.974,0.000,0.000,0.000,0.000
1,gmail,2,ARM64 WFI-0807000KHz,3.069,2.671,2.679,2.420,0.000,0.013,0.079,0.003
1,gmail,2,ARM64 WFI-1018000KHz,0.922,0.832,0.795,0.800,0.000,0.000,0.000,0.000
1,gmail,2,ARM64 WFI-1210000KHz,0.000,0.000,0.000,0.000,0.000,0.027,0.009,0.025
1,gmail,2,ARM64 WFI-1306000KHz,0.543,0.529,0.488,0.404,0.000,0.000,0.000,0.000
1,gmail,2,ARM64 WFI-1517000KHz,18.439,18.876,16.134,15.107,1.117,0.919,0.869,0.899
1,gmail,2,ARM64 WFI-1805000KHz,13.726,10.086,10.168,9.111,0.052,0.011,0.037,0.023
1,gmail,2,ARM64 WFI-2016000KHz,0.000,0.000,0.000,0.000,1.085,1.413,1.096,1.083
1,gmail,2,ARM64 WFI-2304000KHz,0.000,0.000,0.000,0.000,2.282,1.429,2.683,1.979
1,gmail,2,cluster-sleep-0,0.000,0.000,0.000,0.000,12.221,12.221,12.221,12.221
1,gmail,2,cpu-sleep-0,39.602,46.414,49.502,51.189,78.597,77.882,78.666,79.399
1,gmail,3,0480000KHz,2.141,2.028,1.953,2.031,0.000,0.000,0.000,0.000
1,gmail,3,0807000KHz,1.127,1.177,1.124,1.217,0.376,0.149,0.163,0.126
1,gmail,3,1018000KHz,0.183,0.176,0.181,0.203,0.000,0.000,0.000,0.000
1,gmail,3,1210000KHz,0.000,0.000,0.000,0.000,0.027,0.028,0.005,0.001
1,gmail,3,1306000KHz,0.261,0.300,0.266,0.245,0.000,0.000,0.000,0.000
