id,workload,iteration,state,Z8500 CPU0,Z8500 CPU1,Z8500 CPU2,Z8500 CPU3
1,gmail,1,0480000KHz,8.010,7.602,5.442,5.227
1,gmail,1,0560000KHz,1.301,1.457,0.787,0.773
1,gmail,1,0640000KHz,1.285,1.207,0.511,0.384
1,gmail,1,0720000KHz,0.386,0.287,0.705,0.623
1,gmail,1,0800000KHz,0.150,0.164,0.439,0.500
1,gmail,1,0880000KHz,0.498,0.503,0.344,0.373
1,gmail,1,0960000KHz,0.621,0.563,0.446,0.470
1,gmail,1,1040000KHz,0.469,0.545,0.242,0.196
1,gmail,1,1120000KHz,0.338,0.381,0.157,0.182
1,gmail,1,1200000KHz,0.334,0.373,0.048,0.074
1,gmail,1,1280000KHz,0.342,0.308,0.260,0.217
1,gmail,1,1360000KHz,0.381,0.392,0.264,0.271
1,gmail,1,1440000KHz,0.225,0.225,0.051,0.074
1,gmail,1,1520000KHz,0.507,0.497,0.441,0.413
1,gmail,1,1600000KHz,0.366,0.343,0.192,0.183
1,gmail,1,1680000KHz,0.501,0.527,0.447,0.408
1,gmail,1,1760000KHz,0.391,0.397,0.264,0.255
1,gmail,1,1840000KHz,0.462,0.444,0.232,0.225
1,gmail,1,1920000KHz,0.209,0.172,0.209,0.164
1,gmail,1,2000000KHz,0.182,0.195,0.348,0.379
1,gmail,1,2080000KHz,0.344,0.306,0.441,0.463
1,gmail,1,2160000KHz,0.439,0.435,0.320,0.335
1,gmail,1,2240000KHz,18.020,17.375,11.194,10.803
1,gmail,1,CPUIDLE CORE POLL IDLE-0480000KHz,0.000,0.000,0.000,0.000
1,gmail,1,CPUIDLE CORE POLL IDLE-0560000KHz,0.000,0.000,0.000,0.000
1,gmail,1,CPUIDLE CORE POLL IDLE-0720000KHz,0.000,0.000,0.000,0.000
1,gmail,1,CPUIDLE CORE POLL IDLE-0880000KHz,0.000,0.000,0.000,0.000
1,gmail,1,CPUIDLE CORE POLL IDLE-1200000KHz,0.000,0.000,0.000,0.000
1,gmail,1,CPUIDLE CORE POLL IDLE-1360000KHz,0.000,0.000,0.000,0.000
1,gmail,1,CPUIDLE CORE POLL IDLE-1520000KHz,0.000,0.000,0.000,0.000
1,gmail,1,CPUIDLE CORE POLL IDLE-1680000KHz,0.000,0.000,0.000,0.000
1,gmail,1,CPUIDLE CORE POLL IDLE-1760000KHz,0.000,0.000,0.000,0.000
1,gmail,1,CPUIDLE CORE POLL IDLE-1840000KHz,0.000,0.000,0.000,0.000
1,gmail,1,CPUIDLE CORE POLL IDLE-1920000KHz,0.012,0.000,0.000,0.000
1,gmail,1,CPUIDLE CORE POLL IDLE-2080000KHz,0.000,0.000,0.000,0.000
